MESSAGE_ID,MESSAGE_LOCATION,USER_LOCATION
"tag:search.twitter.com,2005:746977529685123073",,POINT (88.3630400 22.5626299)
"tag:search.twitter.com,2005:609338770068889600",,POINT (80.2784700 13.0878400)
"tag:search.twitter.com,2005:771603510248951808",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771990109335883776",,POINT (77.4028899 23.2546900)
"tag:search.twitter.com,2005:773799241433149440",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:681525446392066048",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:777385359177031680",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771985473350668288",,POINT (80.2784700 13.0878400)
"tag:search.twitter.com,2005:772648632696737792",,POINT (80.2784700 13.0878400)
"tag:search.twitter.com,2005:772022185284206592",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:769423430156447745",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771352368768290817",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:766175105315696640",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771279099708997632",,POINT (-119.7512600 37.2502199)
"tag:search.twitter.com,2005:777348185454997508",,POINT (75.7804000 11.2480200)
"tag:search.twitter.com,2005:611929248970862592",,POINT (120.0000000 -5.0000000)
"tag:search.twitter.com,2005:643515182539481090",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:751994240234876928",,POINT (85.8338500 20.2724100)
"tag:search.twitter.com,2005:771601557397704708",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:771313054298480640",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:776242535912001536",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771529822652600320",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:772122677850939392",,POINT (78.0000000 11.0000000)
"tag:search.twitter.com,2005:769401359338770432",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:778303241901801473",,POINT (75.8333000 22.7179199)
"tag:search.twitter.com,2005:773153641133969409",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771299491173502976",,POINT (76.0000000 29.0000000)
"tag:search.twitter.com,2005:771570190697893894",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:774950636563599360",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:768035162923950082",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:770249289046093824",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:772699535168659456",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771690180931649536",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771263330388291585",,POINT (73.8553500 18.5195701)
